"","r","alpha","depth","model"
"1",0.305643377468274,0,1,"2"
"2",0.314713732212615,0.1,1,"2"
"3",0.322852400827457,0.2,1,"2"
"4",0.329968360498511,0.3,1,"2"
"5",0.336064886726429,0.4,1,"2"
"6",0.341217686257225,0.5,1,"2"
"7",0.345545104149993,0.6,1,"2"
"8",0.349180840314325,0.7,1,"2"
"9",0.352254556149424,0.8,1,"2"
"10",0.354880996686224,0.9,1,"2"
"11",0.35715573805626,1,1,"2"
"12",0.359155113957614,1.1,1,"2"
"13",0.360938298224409,1.2,1,"2"
"14",0.36255019106314,1.3,1,"2"
"15",0.364024338530401,1.4,1,"2"
"16",0.365385519700914,1.5,1,"2"
"17",0.366651879465818,1.6,1,"2"
"18",0.367836612074159,1.7,1,"2"
"19",0.368949255055248,1.8,1,"2"
"20",0.369996667722302,1.9,1,"2"
"21",0.370983764103205,2,1,"2"
"22",0.371914058827177,2.1,1,"2"
"23",0.372790072167004,2.2,1,"2"
"24",0.373613629561932,2.3,1,"2"
"25",0.374386082210075,2.4,1,"2"
"26",0.375108468622254,2.5,1,"2"
"27",0.37578163201003,2.6,1,"2"
"28",0.376406304650151,2.7,1,"2"
"29",0.376983167595325,2.8,1,"2"
"30",0.377512892032977,2.9,1,"2"
"31",0.377996167042481,3,1,"2"
"32",0.378433717332435,3.1,1,"2"
"33",0.378826313655558,3.2,1,"2"
"34",0.379174777928935,3.3,1,"2"
"35",0.37947998457948,3.4,1,"2"
"36",0.379742859249772,3.5,1,"2"
"37",0.379964375708334,3.6,1,"2"
"38",0.380145551588758,3.7,1,"2"
"39",0.380287443416648,3.8,1,"2"
"40",0.380391141259147,3.9,1,"2"
"41",0.38045776323878,4,1,"2"
"42",0.380488450083888,4.1,1,"2"
"43",0.380484359836185,4.2,1,"2"
"44",0.380446662797549,4.3,1,"2"
"45",0.38037653676973,4.4,1,"2"
"46",0.380275162619663,4.5,1,"2"
"47",0.380143720187689,4.6,1,"2"
"48",0.379983384544711,4.7,1,"2"
"49",0.379795322596213,4.8,1,"2"
"50",0.379580690025188,4.9,1,"2"
"51",0.379340628561971,5,1,"2"
"52",0.379076263566159,5.1,1,"2"
"53",0.378788701903956,5.2,1,"2"
"54",0.378479030103215,5.3,1,"2"
"55",0.378148312767871,5.4,1,"2"
"56",0.377797591233329,5.5,1,"2"
"57",0.377427882444563,5.6,1,"2"
"58",0.377040178039048,5.7,1,"2"
"59",0.376635443617244,5.8,1,"2"
"60",0.376214618184028,5.9,1,"2"
"61",0.375778613745268,6,1,"2"
"62",0.446561597257536,0,1,"3"
"63",0.511640273187673,0.1,1,"3"
"64",0.565293706494058,0.2,1,"3"
"65",0.606396351638919,0.3,1,"3"
"66",0.636346759203472,0.4,1,"3"
"67",0.657701732644168,0.5,1,"3"
"68",0.673019154893928,0.6,1,"3"
"69",0.684316592415781,0.7,1,"3"
"70",0.692992427780786,0.8,1,"3"
"71",0.699945204323618,0.9,1,"3"
"72",0.705727569077147,1,1,"3"
"73",0.710672402675861,1.1,1,"3"
"74",0.714980238433245,1.2,1,"3"
"75",0.718774709773144,1.3,1,"3"
"76",0.72213576580553,1.4,1,"3"
"77",0.725118752479571,1.5,1,"3"
"78",0.727765016897523,1.6,1,"3"
"79",0.730107644129526,1.7,1,"3"
"80",0.732174497597794,1.8,1,"3"
"81",0.733989814655724,1.9,1,"3"
"82",0.735575054809011,2,1,"3"
"83",0.736949376976298,2.1,1,"3"
"84",0.738129941548353,2.2,1,"3"
"85",0.739132134024834,2.3,1,"3"
"86",0.739969754469428,2.4,1,"3"
"87",0.740655190410499,2.5,1,"3"
"88",0.741199578333037,2.6,1,"3"
