"","r","scale","domain","alpha","depth","model"
"1",0.86827429110619,"bad_terrible","album",0,0,"2"
"2",0.396582413094679,"bad_terrible","album",0,1,"2"
"3",0.396582413094679,"bad_terrible","album",0,2,"2"
"4",0.396582413094679,"bad_terrible","album",0,3,"2"
"5",0.396582413094679,"bad_terrible","album",0,4,"2"
"6",0.86827429110619,"bad_terrible","album",0.1,0,"2"
"7",0.404083278251064,"bad_terrible","album",0.1,1,"2"
"8",0.385846478790033,"bad_terrible","album",0.1,2,"2"
"9",0.384828502113096,"bad_terrible","album",0.1,3,"2"
"10",0.384753016753854,"bad_terrible","album",0.1,4,"2"
"11",0.86827429110619,"bad_terrible","album",0.2,0,"2"
"12",0.411483496246795,"bad_terrible","album",0.2,1,"2"
"13",0.375877794377558,"bad_terrible","album",0.2,2,"2"
"14",0.37214798168121,"bad_terrible","album",0.2,3,"2"
"15",0.371621082200023,"bad_terrible","album",0.2,4,"2"
"16",0.86827429110619,"bad_terrible","album",0.3,0,"2"
"17",0.418773776741832,"bad_terrible","album",0.3,1,"2"
"18",0.366423105545615,"bad_terrible","album",0.3,2,"2"
"19",0.358679739982653,"bad_terrible","album",0.3,3,"2"
"20",0.357125710647039,"bad_terrible","album",0.3,4,"2"
"21",0.86827429110619,"bad_terrible","album",0.4,0,"2"
"22",0.42594525548448,"bad_terrible","album",0.4,1,"2"
"23",0.357274111404011,"bad_terrible","album",0.4,2,"2"
"24",0.344449542425021,"bad_terrible","album",0.4,3,"2"
"25",0.341206859248929,"bad_terrible","album",0.4,4,"2"
"26",0.86827429110619,"bad_terrible","album",0.5,0,"2"
"27",0.432989547606099,"bad_terrible","album",0.5,1,"2"
"28",0.348276871925763,"bad_terrible","album",0.5,2,"2"
"29",0.329405797132879,"bad_terrible","album",0.5,3,"2"
"30",0.323750495483986,"bad_terrible","album",0.5,4,"2"
"31",0.86827429110619,"bad_terrible","album",0.6,0,"2"
"32",0.439898795865379,"bad_terrible","album",0.6,1,"2"
"33",0.339336546008753,"bad_terrible","album",0.6,2,"2"
"34",0.313480475831084,"bad_terrible","album",0.6,3,"2"
"35",0.304578019932601,"bad_terrible","album",0.6,4,"2"
"36",0.86827429110619,"bad_terrible","album",0.7,0,"2"
"37",0.446665713197413,"bad_terrible","album",0.7,1,"2"
"38",0.330417161641131,"bad_terrible","album",0.7,2,"2"
"39",0.296669649478253,"bad_terrible","album",0.7,3,"2"
"40",0.283522785954522,"bad_terrible","album",0.7,4,"2"
"41",0.86827429110619,"bad_terrible","album",0.8,0,"2"
"42",0.45328361904042,"bad_terrible","album",0.8,1,"2"
"43",0.321536525985564,"bad_terrible","album",0.8,2,"2"
"44",0.279114615288215,"bad_terrible","album",0.8,3,"2"
"45",0.26062722164151,"bad_terrible","album",0.8,4,"2"
"46",0.86827429110619,"bad_terrible","album",0.9,0,"2"
"47",0.45974646904207,"bad_terrible","album",0.9,1,"2"
"48",0.31275695479575,"bad_terrible","album",0.9,2,"2"
"49",0.261152521288618,"bad_terrible","album",0.9,3,"2"
"50",0.236421812034202,"bad_terrible","album",0.9,4,"2"
"51",0.86827429110619,"bad_terrible","album",1,0,"2"
"52",0.466048877883595,"bad_terrible","album",1,1,"2"
"53",0.304173062398966,"bad_terrible","album",1,2,"2"
"54",0.243305297526803,"bad_terrible","album",1,3,"2"
"55",0.212105344552359,"bad_terrible","album",1,4,"2"
"56",0.86827429110619,"bad_terrible","album",1.1,0,"2"
"57",0.472186135098676,"bad_terrible","album",1.1,1,"2"
"58",0.295898232205134,"bad_terrible","album",1.1,2,"2"
"59",0.226196164743994,"bad_terrible","album",1.1,3,"2"
"60",0.189365162023036,"bad_terrible","album",1.1,4,"2"
"61",0.86827429110619,"bad_terrible","album",1.2,0,"2"
"62",0.478154213901134,"bad_terrible","album",1.2,1,"2"
"63",0.288051470034442,"bad_terrible","album",1.2,2,"2"
"64",0.210418544552091,"bad_terrible","album",1.2,3,"2"
"65",0.169786698312665,"bad_terrible","album",1.2,4,"2"
"66",0.86827429110619,"bad_terrible","album",1.3,0,"2"
"67",0.483949773166441,"bad_terrible","album",1.3,1,"2"
"68",0.280746110751406,"bad_terrible","album",1.3,2,"2"
"69",0.196410166502174,"bad_terrible","album",1.3,3,"2"
"70",0.154230445700225,"bad_terrible","album",1.3,4,"2"
"71",0.86827429110619,"bad_terrible","album",1.4,0,"2"
"72",0.489570152833274,"bad_terrible","album",1.4,1,"2"
"73",0.274081378823217,"bad_terrible","album",1.4,2,"2"
"74",0.184382851530813,"bad_terrible","album",1.4,3,"2"
"75",0.142655670230591,"bad_terrible","album",1.4,4,"2"
"76",0.86827429110619,"bad_terrible","album",1.5,0,"2"
"77",0.495013363099668,"bad_terrible","album",1.5,1,"2"
"78",0.268137229360785,"bad_terrible","album",1.5,2,"2"
"79",0.174326462877518,"bad_terrible","album",1.5,3,"2"
"80",0.134427551618353,"bad_terrible","album",1.5,4,"2"
"81",0.86827429110619,"bad_terrible","album",1.6,0,"2"
"82",0.500278067881153,"bad_terrible","album",1.6,1,"2"
"83",0.262972358132751,"bad_terrible","album",1.6,2,"2"
"84",0.166068465676149,"bad_terrible","album",1.6,3,"2"
"85",0.128745225335878,"bad_terrible","album",1.6,4,"2"
"86",0.86827429110619,"bad_terrible","album",1.7,0,"2"
"87",0.505363563074012,"bad_terrible","album",1.7,1,"2"
"88",0.258624869653771,"bad_terrible","album",1.7,2,"2"
"89",0.159352758410329,"bad_terrible","album",1.7,3,"2"
"90",0.124901857053543,"bad_terrible","album",1.7,4,"2"
