"","game_response","game_liked_loved","game_good_excellent","game_disliked_hated","game_special_unique","game_bad_terrible","game_low_high","game_memorable_unforgettable"
"1","10/10",0,0,0,0,0,1,0
"2","a-plus",0,0,0,0,0,1,0
"3","abhorred",8,0,6,0,0,0,0
"4","abysmal",0,0,0,0,1,3,0
"5","acceptable",0,1,0,0,0,0,0
"6","addicting",0,0,0,0,1,0,0
"7","adequate",0,1,0,0,1,0,0
"8","admirable",0,0,0,0,0,0,1
"9","admire",1,0,0,0,0,0,0
"10","admired",5,0,3,0,0,0,0
"11","adored",16,0,10,0,0,0,0
"12","agreed",1,0,0,0,0,0,0
"13","alright",0,2,0,0,0,0,0
"14","amazing",0,6,0,4,14,1,6
"15","amusing",0,1,0,1,0,0,0
"16","appalling",0,0,0,1,3,0,0
"17","applauded",1,0,1,0,0,0,0
"18","appreciated",2,0,3,0,0,0,0
"19","approved",1,0,0,0,0,0,0
"20","atrocious",0,0,0,0,4,0,0
"21","average",0,7,0,12,0,9,7
"22","avoided",1,0,2,0,0,0,0
"23","awesome",1,11,0,7,15,1,6
"24","awful",0,9,2,1,20,4,1
"25","bad",0,43,2,2,6,22,3
"26","banal",0,0,0,1,0,0,0
"27","best",0,1,0,0,0,1,0
"28","better",0,0,0,2,0,4,0
"29","big",0,0,0,0,0,1,0
"30","blah",0,0,0,1,0,0,1
"31","bland",0,0,0,5,0,0,7
"32","bleh",0,0,0,1,0,0,0
"33","bombed",0,0,1,0,0,0,0
"34","boring",0,11,0,25,5,0,26
"35","bottom",0,0,0,0,0,2,0
"36","brief",0,0,0,0,1,0,0
"37","brilliant",0,1,0,0,0,0,0
"38","broke",0,0,1,0,0,0,0
"39","challenging",0,2,0,1,0,0,0
"40","cheesy",0,0,0,0,1,0,0
"41","cherished",4,0,1,0,0,0,0
"42","cliche",0,0,0,2,0,0,0
"43","clunky",0,0,0,0,1,0,0
"44","colorful",0,0,0,1,0,0,0
"45","common",0,3,0,15,0,0,2
"46","commonplace",0,0,0,4,0,0,1
"47","complicated",0,0,0,1,0,0,0
"48","condemned",0,0,1,0,0,0,0
"49","conquered",1,0,0,0,0,0,0
"50","conventional",0,0,0,3,0,0,0
"51","cool",0,0,0,1,0,0,1
"52","copious",0,0,0,1,0,0,0
"53","coveted",0,0,1,0,0,0,0
"54","crap",0,0,0,0,1,0,0
"55","crappy",0,2,0,0,1,1,0
"56","creative",0,1,0,1,0,0,0
"57","critical",0,0,0,0,0,1,0
"58","crummy",0,0,0,0,1,0,0
"59","cursed",0,0,1,0,0,0,0
"60","decent",0,1,0,0,0,2,0
"61","deleted",1,0,0,0,0,0,0
"62","delightful",0,0,0,0,0,0,1
"63","deplorable",0,0,0,0,1,0,0
"64","deplored",1,0,0,0,0,0,0
"65","depressing",0,0,0,1,0,0,0
"66","derivative",0,1,0,0,0,0,0
"67","despicable",0,1,0,0,0,0,0
