"","movie_response","movie_liked_loved","movie_good_excellent","movie_disliked_hated","movie_special_unique","movie_bad_terrible","movie_low_high","movie_memorable_unforgettable"
"1","abhorred",7,0,1,0,0,0,0
"2","abhorrent",0,0,1,0,0,0,0
"3","abysmal",0,0,0,0,1,0,0
"4","acceptable",0,0,0,0,1,0,0
"5","accepting",0,0,0,0,0,0,1
"6","admirable",0,1,0,0,0,0,0
"7","admired",6,0,2,0,0,0,0
"8","adored",11,0,14,0,0,0,0
"9","adult",0,0,0,0,0,1,0
"10","alright",0,2,0,0,1,1,0
"11","amazing",2,13,0,1,17,2,5
"12","amusing",0,0,0,0,1,0,0
"13","appreciate",0,0,1,0,0,0,0
"14","appreciated",4,0,2,0,0,0,0
"15","asinine",0,1,0,0,0,0,0
"16","astonishing",0,1,0,0,0,0,0
"17","astounding",0,1,0,0,0,0,0
"18","atrocious",0,0,0,0,1,0,0
"19","attention",0,1,0,0,0,0,0
"20","average",0,12,0,13,4,11,6
"21","aversion",0,0,1,0,0,0,0
"22","awesome",0,6,0,2,9,3,1
"23","awful",0,14,1,4,15,3,2
"24","awkward",0,0,0,1,0,0,0
"25","b-plus",0,0,0,0,0,1,0
"26","bad",0,44,4,6,13,28,3
"27","banal",0,0,0,1,0,0,0
"28","basic",0,0,0,0,0,0,1
"29","better",0,0,0,0,0,3,0
"30","bizarre",0,1,0,0,0,0,0
"31","blah",0,0,0,1,0,0,1
"32","bland",0,1,0,1,0,1,3
"33","blank",0,0,0,0,0,0,1
"34","blase",0,0,0,1,0,0,0
"35","boring",0,15,1,30,6,0,30
"36","bottom",0,0,0,0,0,1,0
"37","brilliant",0,1,0,0,0,0,0
"38","brutal",0,1,0,0,0,0,0
"39","captivating",1,0,0,0,0,0,0
"40","catchy",0,0,0,0,0,0,3
"41","cheesy",0,1,0,0,0,0,0
"42","cherished",2,0,2,0,0,0,0
"43","choice",0,0,0,0,0,1,0
"44","clever",0,0,0,3,0,0,0
"45","cliche",0,0,0,5,0,0,1
"46","colorless",0,0,0,0,0,0,1
"47","common",0,0,0,14,0,0,2
"48","commonplace",0,0,0,0,0,0,1
