"","play_response","play_liked_loved","play_good_excellent","play_disliked_hated","play_special_unique","play_bad_terrible","play_low_high","play_memorable_unforgettable"
"1","abhor",0,0,1,0,0,0,0
"2","abhorred",2,0,6,0,0,0,0
"3","abhorrent",0,1,0,0,1,0,0
"4","abominated",0,0,1,0,0,0,0
"5","absorbed",1,0,0,0,0,0,0
"6","abysmal",0,2,0,0,1,3,0
"7","acceptable",0,2,0,0,1,0,0
"8","adequate",0,1,0,0,0,0,0
"9","admire",1,0,0,0,0,0,0
"10","admired",11,0,2,0,0,0,0
"11","adored",12,0,22,0,0,0,0
"12","adventurous",0,0,0,0,1,0,0
"13","agreeable",1,0,0,0,0,0,0
"14","alone",0,0,0,1,0,0,0
"15","alright",0,1,0,1,1,0,1
"16","amateurish",0,0,0,0,1,0,0
"17","amazing",0,10,0,2,7,2,1
"18","appalling",0,0,0,0,1,0,0
"19","applaudable",0,0,0,0,0,1,0
"20","appreciated",6,0,0,0,0,0,0
"21","approve",0,0,1,0,0,0,0
"22","art",0,0,0,1,0,0,0
"23","astonishing",0,1,0,0,0,0,0
"24","astounding",0,1,0,0,0,1,1
"25","ate",0,0,1,0,0,0,0
"26","atrocious",0,1,0,0,1,1,0
"27","average",0,3,0,12,1,9,7
"28","avoided",0,0,1,0,0,0,0
"29","awe-inspiring",1,0,0,0,0,0,0
"30","awesome",1,1,0,1,9,0,1
"31","awful",0,14,0,0,18,1,3
"32","bad",0,30,0,0,13,32,2
"33","balderdash",0,0,0,0,1,0,0
"34","baseless",0,0,0,0,0,0,1
"35","best",0,0,0,0,1,2,0
"36","better",0,0,0,0,0,4,0
"37","big",0,0,0,0,0,1,0
"38","bland",0,2,0,3,0,0,4
"39","boring",0,16,0,18,4,0,24
"40","bottom",0,0,0,0,0,2,0
"41","brilliant",0,3,0,0,0,0,0
"42","burned",0,0,1,0,0,0,0
"43","catchy",0,0,0,0,0,0,6
"44","challenging",0,1,0,0,0,0,0
"45","cherished",11,0,5,0,0,0,0
"46","childish",0,1,0,0,1,0,0
"47","classic",0,0,0,1,0,0,2
"48","classy",0,1,0,0,0,0,0
"49","cliche",0,0,0,3,1,0,0
"50","clumsy",0,0,0,0,1,0,0
"51","commended",0,0,1,0,0,0,0
"52","common",0,1,0,10,0,0,3
"53","commonplace",0,0,0,3,0,0,0
"54","compelling",0,1,0,0,0,0,1
"55","condescending",0,0,0,0,0,0,1
"56","confusing",0,1,0,0,0,0,0
"57","consumed",0,0,1,0,0,0,0
"58","contradictory",0,0,0,0,1,0,0
"59","controversial",0,1,0,0,0,0,0
"60","conventional",0,0,0,2,0,0,0
"61","cool",0,1,0,0,0,0,0
"62","copycat",0,0,0,1,0,0,0
"63","cosmic",0,1,0,0,0,0,0
"64","crap",0,0,0,0,2,0,0
"65","crappy",0,2,0,0,2,2,0
"66","creative",0,0,0,1,0,0,0
"67","crude",0,1,0,0,0,0,0
"68","crummy",0,1,0,0,2,0,1
"69","cursed",0,0,1,0,0,0,0
"70","decent",0,3,0,2,1,2,0
"71","deep",0,0,0,0,0,0,1
"72","delightful",0,1,0,0,0,0,0
"73","deplorable",0,0,0,0,2,0,0
"74","deplored",0,0,3,0,0,0,0
"75","derivative",0,0,0,1,0,0,0
"76","deserving",0,0,0,0,1,0,0
"77","despise",0,0,1,0,0,0,0
"78","despised",18,0,22,0,0,0,0
"79","detest",1,0,1,0,0,0,0
"80","detested",7,0,4,0,0,0,0
"81","devoured",3,0,0,0,0,0,0
"82","different",0,0,0,21,0,2,0
"83","difficult",0,0,0,0,1,0,0
"84","disapproved",0,0,3,0,0,0,0
"85","disastrous",0,0,0,0,1,0,0
"86","disdained",1,0,1,0,0,0,0
"87","disfavored",0,0,3,0,0,0,0
"88","disgusted",0,0,2,0,0,0,0
"89","disgusting",0,1,0,0,1,0,0
"90","disliked",38,0,16,0,0,0,0
"91","dismal",0,0,0,0,0,1,0
"92","dismissible",0,0,0,0,0,0,1
"93","disposable",0,0,0,1,0,0,0
"94","disrespected",0,0,1,0,0,0,0
"95","distaste",0,0,1,0,0,0,0
"96","distinct",0,0,0,3,0,0,0
"97","distinctive",0,0,0,3,0,0,1
"98","distinguished",0,1,0,0,0,0,1
"99","doubtful",0,0,0,1,0,0,0
"100","dreadful",0,2,1,0,4,0,0
"101","dreary",0,0,0,0,0,0,1
"102","dull",0,5,0,5,3,0,4
"103","dumb",0,0,0,1,0,0,0
"104","dynamic",0,0,0,0,0,0,1
"105","embarrassing",0,0,0,0,0,1,0
"106","enamoured",1,0,0,0,0,0,0
"107","endeared",0,0,1,0,0,0,0
"108","endured",1,0,0,0,0,0,0
"109","enduring",0,0,0,0,0,0,3
"110","engaging",0,0,0,0,0,0,1
"111","enjoyable",0,6,0,0,4,0,2
"112","enjoyed",26,0,24,0,0,0,0
"113","enveloped",1,0,0,0,0,0,0
"114","ephemeral",0,0,0,0,0,0,1
"115","epic",0,1,0,0,0,0,0
"116","epitome",0,1,0,0,0,0,0
"117","epochal",0,0,0,1,0,0,0
"118","esteem",1,0,0,0,0,0,0
"119","eternal",0,0,0,0,0,0,1
"120","eventful",0,0,0,0,0,0,3
"121","excellent",0,2,0,2,9,12,2
"122","exceptional",0,1,0,7,0,1,5
"123","exciting",0,1,0,3,2,0,3
"124","exclusive",0,0,0,5,0,0,0
"125","exotic",0,0,0,1,0,0,0
"126","exquisite",0,0,0,1,0,0,0
"127","extraordinary",0,3,0,5,1,0,3
"128","extreme",0,0,0,1,0,0,0
"129","eye-catching",0,0,0,0,1,0,0
"130","fair",0,0,0,2,0,2,0
"131","familiar",0,0,0,3,0,0,0
"132","fancied",1,0,1,0,0,0,0
"133","fantastic",0,5,0,0,5,2,2
"134","fascinating",0,0,0,1,0,0,0
"135","faulty",0,1,0,0,0,0,0
"136","favorable",0,0,0,0,0,3,0
"137","favored",2,0,0,0,0,0,0
"138","fine",0,5,0,0,0,0,0
"139","five-star",0,0,0,0,0,1,0
"140","flat",0,0,0,1,0,0,0
"141","fodder",0,0,0,1,0,0,0
"142","forgetful",0,0,0,0,0,0,3
"143","forgettable",0,0,0,2,0,0,39
"144","forgot",1,0,0,0,0,0,0
"145","formative",0,0,0,1,0,0,1
"146","friended",1,0,0,0,0,0,0
"147","fun",0,0,0,0,1,0,1
"148","funny",0,2,0,0,2,0,0
"149","garbage",0,1,0,0,5,0,0
"150","generic",0,0,0,3,0,0,0
"151","ghastly",0,0,0,0,3,0,0
"152","gibberish",0,0,0,0,1,0,0
"153","golden",0,0,0,1,0,0,0
"154","gone",0,0,0,1,0,0,0
"155","good",0,4,0,3,28,28,3
"156","great",0,22,0,2,31,15,8
"157","gripping",0,1,0,0,0,0,0
