"","restaurant_response","restaurant_liked_loved","restaurant_good_excellent","restaurant_disliked_hated","restaurant_special_unique","restaurant_bad_terrible","restaurant_low_high","restaurant_memorable_unforgettable"
"1","abhorred",10,0,8,0,0,0,0
"2","above",0,0,0,0,0,1,0
"3","absorbed",0,0,1,0,0,0,0
"4","abysmal",0,1,0,0,0,0,0
"5","acceptable",0,1,0,1,2,0,0
"6","accomplished",0,0,0,1,0,0,0
"7","adequate",0,0,0,0,0,1,0
"8","admired",6,0,2,0,0,0,0
"9","adored",7,0,12,0,0,0,0
"10","allstar",0,0,0,0,0,1,0
"11","alone",0,0,0,1,0,0,0
"12","alright",0,3,0,2,0,0,2
"13","amazing",0,5,0,2,10,1,3
"14","annoying",0,0,1,0,0,0,0
"15","appalling",0,1,0,0,1,0,0
"16","appreciated",2,0,4,0,0,0,0
"17","approved",0,0,1,0,0,0,0
"18","astounding",0,0,0,0,0,1,0
"19","atrocious",0,1,0,0,0,0,0
"20","average",0,7,0,14,2,7,4
"21","avoided",2,0,1,0,0,0,0
"22","awesome",0,6,0,2,16,1,2
"23","awful",0,18,0,2,10,2,1
"24","bad",0,43,0,4,9,25,3
"25","banal",0,0,0,1,0,0,0
"26","bashed",0,0,1,0,0,0,0
"27","basic",0,0,0,0,0,0,1
"28","below",0,0,0,0,0,1,0
"29","better",0,1,0,0,1,3,0
"30","blah",0,0,0,0,0,0,1
"31","bland",0,2,0,11,1,0,7
"32","blech",0,1,0,0,0,0,0
"33","blew",0,0,1,0,0,0,0
"34","boring",1,2,0,21,0,0,19
"35","bueno",0,1,0,0,0,0,0
"36","busy",0,1,0,0,0,0,0
"37","catchy",0,0,0,0,0,0,1
"38","celebrated",0,0,1,0,0,0,0
"39","characterless",0,0,0,0,0,0,1
"40","charming",0,0,0,0,0,0,1
"41","cheap",0,0,0,1,0,0,0
"42","cherished",0,0,2,0,0,0,0
"43","chided",0,0,1,0,0,0,0
"44","classic",0,0,0,3,0,0,0
"45","clean",0,0,0,0,0,0,1
"46","cliche",0,0,0,2,0,0,1
"47","cold",0,0,0,0,0,0,1
"48","comfortable",0,0,0,0,1,0,0
"49","common",0,0,0,15,0,0,6
"50","commonplace",0,0,0,5,0,0,1
"51","condemned",0,0,1,0,0,0,0
"52","conventional",0,0,0,2,0,0,0
"53","cookie-cutter",0,0,0,2,0,0,1
"54","cool",0,1,0,4,0,0,1
"55","copycat",0,0,0,1,0,0,0
"56","corporate",0,0,0,1,0,0,0
"57","coveted",1,0,0,0,0,0,0
"58","credible",0,0,0,0,0,1,0
"59","critical",0,0,0,0,0,2,0
"60","critiqued",0,0,2,0,0,0,0
"61","crowded",0,0,0,1,0,0,1
"62","decent",0,2,0,1,0,3,1
"63","delicious",0,4,0,0,1,0,1
"64","delightful",0,0,0,0,1,0,0
"65","derivative",0,0,0,1,0,0,0
"66","desirable",0,0,0,0,0,0,1
"67","despised",17,0,9,0,0,0,0
"68","detested",2,0,3,0,0,0,0
"69","different",0,0,0,11,0,1,0
"70","dirty",0,0,0,1,1,0,0
"71","disappointing",0,4,0,0,0,1,1
"72","disapproved",1,0,0,0,0,0,0
"73","disdained",1,0,1,0,0,0,0
"74","disguised",0,0,1,0,0,0,0
"75","disgusted",1,0,0,0,0,0,0
"76","disgusting",0,4,0,0,4,0,0
"77","dished",0,0,1,0,0,0,0
"78","disliked",59,0,13,0,1,0,0
