WorkerId,AnonId
A9RB4IQE1FF97,anon-0
A1YJKLVJW1FE33,anon-1
A1YCS8Y1BPXBWY,anon-2
A2I9PUZT19ZBO8,anon-3
A28HYRF3QXFAXL,anon-4
A11B8S0VB7SBS4,anon-5
A3BPTARPGHYU1N,anon-6
A166A2M31CW2C7,anon-7
A274495PR1T4FQ,anon-8
A866XBRBFNHXM,anon-9
A3GEHH49HNJM57,anon-10
AOTF48KUV9KWM,anon-11
A2328M9GCL81L5,anon-12
A1CX53BTI88Z12,anon-13
ATHS9CW2FLYUY,anon-14
A9DQ6ZND6E79M,anon-15
A29OXMPYXH8779,anon-16
A1DVNAQ217BZJF,anon-17
A14HW0XMI4R2ON,anon-18
A35AOFAPRPADTL,anon-19
AHKWRPGZUQYA4,anon-20
A11TB5SDYPY6UO,anon-21
A2IBTYRQIZX1N6,anon-22
A1NCWY01WAAP2K,anon-23
A2ET1M9UUKJ9KB,anon-24
A30CGO77OY7WP0,anon-25
A3RVICAY4DBNJS,anon-26
A2EO31JHU3ZAX5,anon-27
A1G187YBG0DVMQ,anon-28
ARXA45HA1U8J,anon-29
A142ZRU284W9O,anon-30
AHXAD9BGAJBFA,anon-31
A2KQGHVIFXY7CY,anon-32
A3P5WIW36V70AI,anon-33
A15ULXONZUA4PN,anon-34
A3IB7YJHP04OHI,anon-35
A2S96ZZ70YFPSK,anon-36
A3W1BZJDOLEW9P,anon-37
A3T823TYKTZEVO,anon-38
A377G0GQHF7LUX,anon-39
A1Y7W3SY9XKGJC,anon-40
AFSB8WBSUU2B4,anon-41
A1AECX56J76PVP,anon-42
A3T19O1BCEJEAP,anon-43
AXGSUFCAK8W0H,anon-44
A9YQQIZRWVPIT,anon-45
AVOF14300525D,anon-46
A1Z9510ON62X4X,anon-47
A2JRONMDBUJT3K,anon-48
A2L15FEUKIWEZO,anon-49
