WorkerId,AnonId
A228XFM30528FX,anon-0
A3JMADBXLNM8TJ,anon-1
A3193MI1J3OGLA,anon-2
A1NP2XGDX58PSH,anon-3
A1CIW92DX5V8FD,anon-4
A1497L153RMH2L,anon-5
ADTIO3A6TM9CG,anon-6
A2ZWE2136AI1A5,anon-7
A3NHJPE6326P9V,anon-8
A2JRONMDBUJT3K,anon-9
AURYD2FH3FUOQ,anon-10
A28YA7NJ2816MV,anon-11
A31681CCEVDIH3,anon-12
ATB9VOR75W6P3,anon-13
A1CE2XPYCDRHVZ,anon-14
A1I7NW0062RB0X,anon-15
A3HAQ0MLU7FCQL,anon-16
A3UC45GKCAZ7ZU,anon-17
A259UZJQOOVE4V,anon-18
A3UV55HC87DO9C,anon-19
ARXKS57FT3NLS,anon-20
AFSB8WBSUU2B4,anon-21
A1ECLPJ8TOEKJ3,anon-22
A3LD1G3R5NOVYH,anon-23
A12MGPNW8RX6VW,anon-24
A2LUIM833W91RI,anon-25
A2TCKIIUS9IB4M,anon-26
A35488YJLJ5YG7,anon-27
A19QGT0TW8ZCTR,anon-28
A2G62L42S73FFN,anon-29
ALMIPS9FBSNUE,anon-30
A74EYSZ2A1Z3V,anon-31
A3IEKOM5X3NBLX,anon-32
A1BN7LLTUIRV47,anon-33
A1MFVFBH60MBSU,anon-34
A368XZYXNFB25,anon-35
AKGTYHAIZW21R,anon-36
A1X0WT0A91ZCIH,anon-37
A3504RTXT7COHV,anon-38
A2S00V7RUU121E,anon-39
A1JTOUQAD12LQR,anon-40
A1ZP3TH01HZM42,anon-41
ACBROTSQROW87,anon-42
AB5TKTUPBF7R7,anon-43
A2UTWQS99Y0NRH,anon-44
A208A2GT4OHJOG,anon-45
A2OR9DO2XUFCLI,anon-46
A1ZMHX9CXS5JCH,anon-47
A3LVU39B5A9MNI,anon-48
ASPZPHE6ELR8K,anon-49
